ID,MMPR,FREQR,POIDS_VAS,POIDS_IN,POIDS_IN_OFFN,POIDS_OPK,POIDS_ONG,POIDS_INT,POIDS_ONN,SMART_PHONE,MULTI_EQUIPE,USERS_INTERNET,Cluster,Segment_Name
1916.0,14.0,10.0,0.0531354715158352,0.6530593370834915,0.0186931769904207,0.6006954720275431,0.8891986062730163,0.0,0.9789693696360776,0.0,0.0,1.0,7,Data Users
1917.0,22.5,4.0,0.0124100273015267,0.0,0.0,0.1925421297987434,0.7383512544731182,0.0,0.9738257439934148,0.0,0.0,0.0,2,Appelants Off-Net
1931.0,28.33333333333333,6.0,0.3273525163873919,0.8007101128794671,0.1048332425734758,0.6912744212362558,0.5723327305585088,0.0141197676747432,0.9139544299741852,0.0,0.0,0.0,2,Appelants Off-Net
1933.0,20.0,1.0,0.0,0.0,0.0,0.1755385437104591,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
1935.0,13.333333333333334,9.0,0.0,0.0606527580214665,0.6684039087930466,0.915323217953826,0.8394863563417652,0.0,0.9436541804963235,0.0,0.0,1.0,7,Data Users
1938.0,19.0,10.0,0.0414057243399924,0.2032625373497395,0.0437469650815918,0.914596175758287,0.7841536084740832,0.0139442231073388,0.9823324091273158,0.0,0.0,1.0,7,Data Users
1939.0,20.0,13.0,0.0230742606614656,0.1028880551435892,0.0761533242886186,0.7510164907075036,0.7179284963190569,0.0,0.9734403629699008,0.0,0.0,0.0,2,Appelants Off-Net
1940.0,15.0,8.0,0.1666666666667225,0.1503145292201571,0.1571042861954434,0.8483157467528059,0.7334455667776664,0.0349276974422953,0.95228794642891,0.0,0.0,0.0,2,Appelants Off-Net
1944.0,15.0,2.0,0.0,0.0,0.0,0.8852591248238175,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
1946.0,15.0,2.0,0.0,0.0453001132465739,0.8250000000825001,0.3272933182279011,0.7727272727210744,0.0,0.9173272933144704,0.0,0.0,0.0,2,Appelants Off-Net
1947.0,13.333333333333334,3.0,0.0,0.0,0.0,0.3348708487078692,1.0,0.0,1.0,0.0,0.0,1.0,7,Data Users
1948.0,18.0,5.0,0.1199733392582092,0.486853537580738,0.0529899511278722,0.8582695058184667,0.7446153846046485,0.4842572062034233,0.973092192324916,0.0,0.0,0.0,2,Appelants Off-Net
1952.0,10.0,1.0,0.0,0.0,0.0,0.6884057970914723,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
1955.0,10.0,2.0,0.5012531328310751,0.0,0.0,0.782456140341422,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
1963.0,27.5,4.0,0.0,0.0422129594533481,0.1166965888682832,0.2900341038282213,0.7112299465240642,0.1447178002931677,0.9889352027284392,0.0,0.0,1.0,7,Data Users
1976.0,35.0,2.0,0.2056026728355923,0.3665413533834586,0.0239316239282051,0.8345864661654134,1.0,0.0321839080413793,0.9912280701766918,0.0,0.0,1.0,7,Data Users
1984.0,10.0,1.0,0.0,0.9845444685465756,0.0001101624895625,0.5543926247202291,1.0,0.0,0.99989154013026,0.0,0.0,1.0,7,Data Users
1989.0,13.333333333333334,15.0,0.0595404223649064,0.3835740281423319,0.0550552970327634,0.6830941839071948,0.596001859596608,0.0,0.9587380328704918,0.0,0.0,0.0,2,Appelants Off-Net
1992.0,13.333333333333334,3.0,0.016683350016739,0.4166353501183356,0.0168370414912656,0.1010898158554399,0.648300117231645,0.0,0.9741951647251054,0.0,0.0,0.0,2,Appelants Off-Net
1997.0,37.142857142857146,7.0,0.0,0.4801984680295224,0.0011313070367296,0.0896184560773693,1.0,0.0,0.9994567480940914,0.0,0.0,1.0,7,Data Users
1998.0,15.0,12.0,0.0,0.1436274275896496,0.0099667774106444,0.6797251515002796,0.4862637362640702,0.0,0.9271842343844946,0.0,0.0,0.0,2,Appelants Off-Net
1999.0,15.0,2.0,0.0,0.0,0.0,0.4866310160448548,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
2004.0,10.0,3.0,0.0333889816347691,0.1262755101980392,0.1515151514637281,0.3584183673413064,0.7114503816802704,0.0,0.739795918371681,0.0,0.0,1.0,7,Data Users
2014.0,10.0,1.0,0.0,0.9856213107311154,0.0005630630631625,0.1806165178316903,1.0,0.0625000000178571,0.9994450330456616,0.0,0.0,0.0,2,Appelants Off-Net
2017.0,12.5,2.0,0.0,0.0,0.0,0.939082399877276,1.0,0.0,1.0,0.0,0.0,1.0,7,Data Users
2019.0,10.0,4.0,0.1721191406238554,0.6317160534064681,0.0567010309296046,0.4666232497398024,0.8448275862122473,0.0357142857130102,0.961250407032212,0.0,0.0,1.0,7,Data Users
2025.0,18.0,10.0,0.0,0.4805221589098315,0.000826590789805,0.6033013031031866,0.8859366891541784,0.0,0.9912082372172092,0.0,0.0,1.0,7,Data Users
2029.0,16.666666666666668,3.0,0.0,0.3118997232594002,0.0013048016696378,0.0586846817528031,1.0,0.0,0.9995930327203316,1.0,0.0,0.0,0,High Value Smartphone
2035.0,10.0,1.0,0.0,0.976593298291683,0.0191741653351596,0.6793692509538097,1.0,0.0,0.9812746386333464,0.0,0.0,0.0,2,Appelants Off-Net
2036.0,18.75,16.0,0.4054054054040059,0.3452098620757406,0.0015356430842189,0.7426318090066693,0.9194221030688836,0.0,0.9969541400444748,0.0,0.0,0.0,2,Appelants Off-Net
